run	user	host	Virussequence	sample	totalreads	readshostR1	readshost	%readshost	readsvirus	%readsvirus	unmappedreads	%unmapedreads	medianDPcoveragevirus	Coverage>10x(%)	Variantsinconsensusx10	MissenseVariants	%Ns10x	Lineage
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214833	326700	61771	123542	37,82	88067	26,96	115091	35,2283	16	55,00000000000001	12	5	44,94	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214834	384218	36429	72858	18,96	296545	77,18	14815	3,85588	85	83,0	17	8	17,29	B.1.177
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214835	347078	42041	84082	24,23	162912	46,94	100084	28,8362	32	67,0	17	7	32,56	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214836	362840	74483	148966	41,06	115115	31,73	98759	27,2183	9	49,0	8	4	50,53	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214837	400430	56534	113068	28,24	223768	55,88	63594	15,8814	52	75,0	17	7	25,35	B.1.177
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214838	113674	25661	51322	45,15	6240	5,49	56112	49,3622	1	27,0	5	3	73,34	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220338	214610	37082	74164	34,56	106457	49,6	33989	15,8376	28	68,0	35	23	31,88	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220339	310682	6731	13462	4,33	295685	95,17	1535	0,494074	401	91,0	49	35	8,77	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220407	188574	72874	145748	77,29	4001	2,12	38825	20,5887	NA	20,0	9	7	80,18	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220433	69680	7033	14066	20,19	16261	23,34	39353	56,4768	3	36,0	16	13	64,03	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220518	87796	15067	30134	34,32	27222	31,01	30440	34,6713	2	37,0	18	13	63,28	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220529	243588	24320	48640	19,97	192650	79,09	2298	0,943396	86	79,0	42	30	21,15	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220530	258694	20191	40382	15,61	164599	63,63	53713	20,7631	27	67,0	38	27	32,76	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220531	322478	7510	15020	4,66	306896	95,17	562	0,174275	317	90,0	57	44	9,95	BA.1.18
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220532	240540	44711	89422	37,18	145549	60,51	5569	2,31521	29	68,0	35	25	31,52	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220533	146454	67492	134984	92,17	7609	5,2	3861	2,63632	NA	15,0	7	5	85,29	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220534	383046	9624	19248	5,02	361544	94,39	2254	0,588441	505	91,0	58	43	8,91	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220535	372112	59321	118642	31,88	247472	66,5	5998	1,61188	39	72,0	36	25	28,36	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220536	342222	69820	139640	40,80	196456	57,41	6126	1,79007	27	66,0	35	23	33,56	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220537	296640	7817	15634	5,27	278999	94,05	2007	0,676578	171	85,0	51	36	14,74	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220538	316128	28736	57472	18,18	256420	81,11	2236	0,707308	154	84,0	52	38	16,06	BA.1.18
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220539	350584	24002	48004	13,69	295145	84,19	7435	2,12075	50	73,0	36	24	26,76	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220540	349706	131768	263536	75,36	73909	21,13	12261	3,50609	3	33,0	18	13	67,33	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220541	314886	34471	68942	21,89	243456	77,32	2488	0,790127	131	82,0	44	31	18,38	BA.1.1.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220542	290650	24450	48900	16,82	231509	79,65	10241	3,52348	17	56,00000000000001	29	21	43,64	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220543	393188	3174	6348	1,61	386045	98,18	795	0,202193	340	89,0	53	40	11,10	BA.1.1.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220544	301018	16814	33628	11,17	263474	87,53	3916	1,30092	44	72,0	43	33	28,08	BA.1.1.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220545	265640	6396	12792	4,82	240982	90,72	11866	4,46695	50	76,0	38	25	24,27	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220546	257054	17714	35428	13,78	219613	85,43	2013	0,783104	127	81,0	47	33	19,22	BA.1.1.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220599	189680	74903	149806	78,98	23086	12,17	16788	8,8507	6	43,0	19	17	56,97	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220600	245316	110739	221478	90,28	73	0,03	23765	9,68751	NA	NA	0	0		
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220601	296392	13505	27010	9,11	268212	90,49	1170	0,394747	798	97,0	59	42	2,97	BA.1.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220603	132	9	18	13,64	102	77,27	12	9,09091	NA	NA	0	0		
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220624	295422	43999	87998	29,79	180473	61,09	26951	9,12288	25	67,0	35	25	33,26	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220625	280118	42654	85308	30,45	183443	65,49	11367	4,05793	19	59,0	30	21	41,39	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220626	284748	4918	9836	3,45	272621	95,74	2291	0,804571	62	76,0	35	22	24,47	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220627	346396	2670	5340	1,54	340102	98,18	954	0,275407	303	90,0	49	33	10,41	BA.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220628	322910	4681	9362	2,90	312419	96,75	1129	0,349633	270	89,0	55	40	11,18	BA.1.15.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220629	415182	46596	93192	22,45	306635	73,86	15355	3,69838	25	65,0	34	25	34,69	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220630	295142	60733	121466	41,16	170297	57,7	3379	1,14487	81	72,0	34	23	28,01	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220631	274184	36346	72692	26,51	199758	72,86	1734	0,632422	122	81,0	47	31	18,92	AY.127
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220633	440478	7179	14358	3,26	422987	96,03	3133	0,711273	168	83,0	43	31	17,17	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220634	373722	60717	121434	32,49	228069	61,03	24219	6,48049	28	65,0	33	23	34,87	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220635	333686	33839	67678	20,28	247874	74,28	18134	5,43445	36	70,0	40	29	29,84	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220636	329688	8956	17912	5,43	246754	74,84	65022	19,7223	29	67,0	37	27	33,48	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220637	412358	5079	10158	2,46	396982	96,27	5218	1,26541	245	86,0	46	32	13,83	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220638	280140	3190	6380	2,28	273014	97,46	746	0,266295	195	85,0	56	38	14,94	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220639	293692	15694	31388	10,69	243186	82,8	19118	6,50954	22	64,0	31	22	35,73	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220640	283734	15102	30204	10,65	242119	85,33	11411	4,02172	41	71,0	35	23	28,83	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220642	287392	53325	106650	37,11	167518	58,29	13224	4,60138	15	57,99999999999999	29	17	42,35	B.1.617.2
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220644	329228	29537	59074	17,94	258356	78,47	11798	3,58353	31	67,0	34	25	33,42	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220646	372318	21905	43810	11,77	322145	86,52	6363	1,70902	64	78,0	38	26	22,36	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220647	433376	8059	16118	3,72	396231	91,43	21027	4,85191	170	86,0	51	36	14,41	BA.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220648	343850	86366	172732	50,23	148232	43,11	22886	6,65581	13	54,0	27	19	45,72	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220649	357146	25733	51466	14,41	298948	83,7	6732	1,88494	31	68,0	39	28	32,12	BA.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220650	345044	10516	21032	6,10	320092	92,77	3920	1,13609	66	73,0	36	26	27,50	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220651	375890	45387	90774	24,15	270823	72,05	14293	3,80244	24	65,0	33	24	34,80	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220652	324144	12938	25876	7,98	293776	90,63	4492	1,3858	44	72,0	39	27	27,86	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220653	281982	61894	123788	43,90	120219	42,63	37975	13,4672	8	48,0	25	19	52,46	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220654	264482	9708	19416	7,34	241570	91,34	3496	1,32183	57	76,0	39	27	23,71	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220655	342522	4194	8388	2,45	332968	97,21	1166	0,340416	144	84,0	50	36	15,92	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220656	342082	71678	143356	41,91	186800	54,61	11926	3,4863	7	45,0	24	17	55,26	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220657	289618	24404	48808	16,85	233722	80,7	7088	2,44736	18	59,0	28	21	41,14	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220658	288798	32526	65052	22,53	217510	75,32	6236	2,15929	26	68,0	36	26	32,35	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220659	325092	7722	15444	4,75	307924	94,72	1724	0,530311	127	81,0	43	30	18,81	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220660	314206	13118	26236	8,35	283672	90,28	4298	1,36789	129	84,0	43	28	16,46	BA.1.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220661	377508	8713	17426	4,62	357815	94,78	2267	0,600517	146	81,0	47	32	18,59	BA.1.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220663	367268	113353	226706	61,73	104983	28,58	35579	9,68748	4	41,0	28	23	58,98	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220664	310374	3372	6744	2,17	302546	97,48	1084	0,349256	230	87,0	51	38	13,50	BA.1.1.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220665	335192	11738	23476	7,00	290215	86,58	21501	6,41453	47	72,0	38	26	28,33	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220666	240438	67516	135032	56,16	92624	38,52	12782	5,31613	4	40,0	21	14	59,96	B.1.617.2
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220667	310152	3164	6328	2,04	302582	97,56	1242	0,400449	127	81,0	49	31	18,87	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220668	259344	33241	66482	25,63	177798	68,56	15064	5,8085	15	57,99999999999999	33	23	42,41	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220669	310808	25247	50494	16,25	254109	81,76	6205	1,99641	32	68,0	36	25	32,00	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220670	410196	21372	42744	10,42	362154	88,29	5298	1,29158	90	78,0	43	31	21,51	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220671	281328	4791	9582	3,41	270074	96,0	1672	0,594324	161	83,0	45	33	17,22	BA.1.17
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220672	286140	16646	33292	11,63	240636	84,1	12212	4,26784	35	70,0	37	23	30,19	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220675	310914	51986	103972	33,44	187328	60,25	19614	6,3085	12	54,0	30	22	46,41	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220677	305936	18288	36576	11,96	265405	86,75	3955	1,29275	47	71,0	38	26	29,04	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220678	346738	9926	19852	5,73	323905	93,41	2981	0,859727	98	81,0	42	30	19,02	BA.1.1.1
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220679	276880	16703	33406	12,07	233349	84,28	10125	3,65682	63	75,0	40	27	24,71	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220680	363996	102852	205704	56,51	138444	38,03	19848	5,45281	11	51,0	26	21	49,07	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220684	327920	15093	30186	9,21	292768	89,28	4966	1,51439	63	75,0	35	25	25,05	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	220685	276336	18454	36908	13,36	233558	84,52	5870	2,12423	56	75,0	41	29	25,49	BA.1.1.1
